movie_modified,genres,gross,budget,net_profit,title_year,imdb_score,image_url,dominant_colors_array,dominant_color
Avatar,Action|Adventure|Fantasy,2787965087,237000000,2550965087,2009,7.8,https://m.media-amazon.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_.jpg,"[['#3c445e', 0.2704298143098299], ['#100d0f', 0.6127593818984547], ['#b2a4a4', 0.11681080379171536]]",#100d0f
Titanic,Drama|Romance,2186772302,200000000,1986772302,1997,7.8,https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,"[['#ddd4d2', 0.31807940446650124], ['#232122', 0.42801422663358146], ['#9d7c61', 0.2539063688999173]]",#232122
Jurassic World,Action|Adventure|Sci-Fi,1671713208,150000000,1521713208,2015,7,https://m.media-amazon.com/images/M/MV5BNzQ3OTY4NjAtNzM5OS00N2ZhLWJlOWUtYzYwZjNmOWRiMzcyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,"[['#0e1110', 0.634964281190627], ['#414d55', 0.27729518682710574], ['#9cb0bb', 0.08774053198226726]]",#0e1110
Furious 7,Action|Adventure|Thriller,1516045911,190000000,1326045911,2015,7.2,https://m.media-amazon.com/images/M/MV5BMTQxOTA2NDUzOV5BMl5BanBnXkFtZTgwNzY2MTMxMzE@._V1_.jpg,"[['#171718', 0.5279518682710577], ['#dad9d5', 0.2823270424319189], ['#6e6f6f', 0.18972108929702344]]",#171718
The Avengers,Action|Adventure|Sci-Fi,1519557910,220000000,1299557910,2012,8.1,https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,"[['#12151c', 0.47207559121621623], ['#c1c8c3', 0.17466638513513513], ['#44656c', 0.35325802364864867]]",#12151c
Avengers: Age of Ultron,Action|Adventure|Sci-Fi,1405413868,250000000,1155413868,2015,7.3,https://m.media-amazon.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_.jpg,"[['#cbcbcc', 0.19482060185185185], ['#242837', 0.5134729456018519], ['#6c656f', 0.2917064525462963]]",#242837
Frozen,Adventure|Animation|Comedy,1276480335,150000000,1126480335,2013,7.5,https://m.media-amazon.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_.jpg,"[['#cae5f4', 0.5015425730372648], ['#4b769c', 0.12294088051736614], ['#92c0de', 0.375516546445369]]",#cae5f4
Beauty and the Beast,Family|Fantasy|Musical,1263521126,160000000,1103521126,2017,7.2,https://m.media-amazon.com/images/M/MV5BMTUwNjUxMTM4NV5BMl5BanBnXkFtZTgwODExMDQzMTI@._V1_.jpg,"[['#57717b', 0.33048231729377714], ['#12242f', 0.47805949540973225], ['#b5c4c1', 0.19145818729649058]]",#12242f
Minions,Adventure|Animation|Comedy,1163534901,74000000,1089534901,2015,6.4,https://m.media-amazon.com/images/M/MV5BMTg2MTMyMzU0M15BMl5BanBnXkFtZTgwOTU3ODk4NTE@._V1_.jpg,"[['#ebce63', 0.12903909641823444], ['#fefefe', 0.7882834405526411], ['#4f5d70', 0.08267746302912446]]",#fefefe
The Lord of the Rings: The Return of the King,Adventure|Drama|Fantasy,1119929521,94000000,1025929521,2003,8.9,https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,"[['#1b1610', 0.4444103375527426], ['#c8b694', 0.2693122362869198], ['#786549', 0.2862774261603376]]",#1b1610
Iron Man 3,Action|Adventure|Sci-Fi,1215439994,200000000,1015439994,2013,7.2,https://m.media-amazon.com/images/M/MV5BMjE5MzcyNjk1M15BMl5BanBnXkFtZTcwMjQ4MjcxOQ@@._V1_.jpg,"[['#0f191c', 0.4841050767414404], ['#5a635d', 0.34271782762691855], ['#d2c6ae', 0.17317709563164108]]",#0f191c
Jurassic Park,Action|Adventure|Sci-Fi,1029153882,63000000,966153882,1993,8.1,https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_.jpg,"[['#040303', 0.8516296851574213], ['#ac3a3c', 0.07434482758620689], ['#ddd2ac', 0.07402548725637181]]",#040303
The Lion King,Adventure|Animation|Drama,987483777,45000000,942483777,1994,8.5,https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_.jpg,"[['#106ba9', 0.41794195339901713], ['#b4bbb3', 0.36175611092508597], ['#3b455b', 0.2203019356758969]]",#106ba9
Transformers: Dark of the Moon,Action|Adventure|Sci-Fi,1123746996,195000000,928746996,2011,6.2,https://m.media-amazon.com/images/M/MV5BMTkwOTY0MTc1NV5BMl5BanBnXkFtZTcwMDQwNjA2NQ@@._V1_.jpg,"[['#130d0f', 0.52947949004748], ['#67574c', 0.28852357160792547], ['#b4b2aa', 0.1819969383445946]]",#130d0f
Star Wars: Episode I - The Phantom Menace,Action|Adventure|Fantasy,1027044677,115000000,912044677,1999,6.5,https://m.media-amazon.com/images/M/MV5BYTRhNjcwNWQtMGJmMi00NmQyLWE2YzItODVmMTdjNWI0ZDA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,"[['#0c060c', 0.6677815233436887], ['#cd9470', 0.12593033247405644], ['#763b2b', 0.20628814418225483]]",#0c060c
Skyfall,Action|Adventure|Thriller,1108561013,200000000,908561013,2012,7.8,https://m.media-amazon.com/images/M/MV5BNDVhZmJiYWMtNmIzMC00ZWNiLTkzZDYtNGNlZmViMGM4OGExXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg,"[['#ececeb', 0.22555943887934155], ['#06080e', 0.6879278643948987], ['#777375', 0.08651269672575977]]",#06080e
